"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Landmark_26a92502-7662-427d-ba1b-01045e69b041_60b38258-a6e2-415f-a663-9a8d69bf594b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_28a6db63-b052-4a9e-91cb-f89d392094f9_2e7b1ecf-a7c6-4c13-9d0d-140b02c95366","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_295c61d8-2804-4e70-8394-bfddfe304bd8_fea3c58a-ae07-477a-992a-39faf85739d4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_2a6e496d-4f14-44f8-b6e9-2ce178436340_a9a8966b-b34a-475f-9983-9c071c56ac99","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_2b423eea-d8d7-4ccd-8d8e-4fdc5912152d_1cc3b5df-ef9f-436e-a3c6-3f85f7947d46","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_2b9e4258-70a7-40c2-a82a-10844c73d68f_f67aea7f-2be5-4a0d-80dc-ae07e15d334e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_2e00acfa-b3b1-415a-aee3-aa1f9ca19796_965795c0-383c-4062-aa0a-dbf7c9b57ae7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_2f221aed-06e7-4f4c-991c-86f9ef667a2e_ba11e19b-a294-439f-aad2-1af8bb4ad103","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_30cbf347-2697-40ea-83b8-da8ba1d9fdad_3534dc50-75c0-4de2-9faf-9d4266797a5f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_33479013-3f03-480d-959b-f9292536f8f2_0339fad4-0df1-4a2f-82b4-ffb0662496a6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_339ce217-df62-44ff-8de4-92ff0524f333_3391bbf7-78b0-4bfa-9d80-d7f50577c059","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_34c37016-9167-47fc-a55b-980f7f2fbed3_47a52bb6-c5a8-49e5-b62d-8936f13f3bc3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_36d20b63-7c04-4ad1-9620-8a013404f724_ca3344cb-2432-449d-95b2-905455873024","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_37c3659b-5ee4-453c-9a0c-8ee768b60258_88b3815a-1aa3-4a8e-a219-909a35ef29b6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_37d16e09-1158-4f69-89ad-a7269ac00161_6c6c3afe-b143-463a-84f9-1aff72db6e8f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_37f8a9cb-f621-42f9-94c4-6d6adf4dc2e8_8c469d77-de93-4e71-be2d-ddb5693b37c6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_388e56de-24a4-49fc-85a4-8ccf197915ba_4a69523d-a3bf-40f3-a27e-64486aed8533","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_38bbb010-0e00-4056-bb28-e72b3e47cb10_7d3a1f9d-596b-479a-abce-7e1fb782077d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_396207d6-e9ad-444f-b89a-8b8b35ec2e71_dd7e7b25-492f-4f1c-a3e6-2c1e9f375367","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_39879672-2871-4a49-928a-cb46efb89839_b9778d3c-61a4-4189-bdc0-d34cb5c9ff3c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_399ea487-8d76-4995-bd7d-8dd12ec222f0_e196cff0-22db-4f31-8572-c592f477e51e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3bad6f9a-b0f0-40b3-a5c4-95ba25752542_f6b424b5-47ea-4bb1-b61f-89f8f68cc8ec","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3c24c9e4-2915-4cc6-867d-14b42058d89d_6df35be0-e168-4946-a985-33cb96cf37f4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3ce7561f-31b3-4fda-9756-882c0cefdf7d_bc61ce03-42fa-4dd2-9e03-1808e4c55381","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3d880888-f23f-49b7-a662-a85fa97df089_32136cab-a60e-4396-bdd4-fd9ee58e7b08","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3dbcfe2b-3117-4ab8-a386-668ed9dca357_a9eb967b-aac5-46f1-9629-56dd200343ac","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3e1628c9-f6e5-4698-b3ac-ef8760f72dd7_16b019c1-a044-4354-bdc3-aa795b182771","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3f3d37d9-998d-4e0d-80cf-5bc1087e9745_541e6bcc-f345-4eea-b465-2f7d539032a0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_3f51922e-6e87-4529-81b9-5ea773bddc17_1cdb4616-d51c-4635-bf56-f5803497a19e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_41a19f7d-f584-477b-a3db-489f3653ea08_40251e83-8201-4547-b113-c5ee1efc99fe","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_41d2806f-97ae-4441-9a1d-ccf8277c8ec2_cf54f8a9-d4fc-47f6-8c25-64a9c09a0912","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_42c8a46f-3503-4776-9c6d-030d2852d023_60717e1c-adcc-4283-bc87-23008e09ce0c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_43e5b410-bbca-4562-bac1-ef8adaf8bbaf_106af6f5-9370-41c0-a84d-847f2590e8c8","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_46511e81-845d-434e-ade0-d6fa7a1a8759_6b535ec7-01ab-4fb5-a4fb-28593fd3214f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_46eb818a-0b67-472f-b60b-5e627e545f02_9c4dab83-851d-4eb2-9012-4f866df45a5e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_47cf72b2-06f2-43b0-8437-5ebce7794117_36a3e9f9-60ba-4319-8aac-d97eb76b949d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_480b5b5e-bd0d-47a3-9d27-6bc5b8ca5ca2_17a407b8-1353-49fb-8400-6f8e97639759","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_49ac59a0-930e-4e5e-a907-3f3521a58fd3_6aa6d174-eba8-413e-8819-d68f1e630599","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4a47b396-e9dd-47dc-802f-b3b704e04a92_98c2bf99-f5c7-4912-acc5-09dd33f3a460","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4aac37cb-e04f-41e4-9ea5-129b63814982_761786f4-ea1d-4752-b74f-d7e54ac9006b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4b06784f-33c7-4916-8b38-ecd708b29934_528e053e-5229-4113-a129-1a9d3bd46a68","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4b0807d5-4f77-44ee-b054-4e43797b895c_c4821451-6b05-4f70-8b1e-1196f7251932","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4b0932bc-041a-4520-9fa8-cc0daa88a3a6_8c593495-9ae7-4370-9e91-5b1ffb39a6af","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4b3d9065-ed05-42a8-8e3f-6831a4e2cd3c_efafc3a0-3aaf-4830-9c54-5945ca32d26a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4d6b2a87-3093-4d6a-9f30-6e4aa96b0182_6d94e8a0-8b2a-4fad-92d0-024fc045d440","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4db5cf38-c1d9-4cbc-9e1a-4dceab8c68e5_e81e8c34-af51-49ab-8da1-39aec2953225","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4dc0b00f-7986-4fd4-ae04-ca3fb62eaf77_83dcc250-0366-4990-8eea-fc867c89009c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4dd99bad-0f0f-4205-b26f-ef65db2e0913_f04d57ec-0b38-4b08-85e6-4693c3223b1b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4e16a14c-0df1-4952-95ec-2cd63985ba3b_79b86467-7b6d-4482-8bc6-a30bf382ddc7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4ec05b88-aef5-4933-80d5-288fa97f2054_fd795c08-89bb-4517-8240-1fbf51ccb679","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4ec418a2-fb8f-4b59-a005-e9c85221582e_273c57ba-7e09-4c46-a4e7-b1310074b7f2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_4ef663c5-e11c-4b52-8204-9a6295d62848_3f282612-e0d1-47e5-9ef8-5ae2c4f24df4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
